Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
mage,130,65,65,0,0,0,1.920000,44.549700
warrior,131,65,66,0,0,0,1.920000,33.803486
archer,131,65,66,0,0,0,1.920000,50.705228
guardian,131,0,0,0,65,66,1.300000,47.733155
mage,131,65,66,0,0,0,1.920000,45.071314
warrior,132,66,66,0,0,0,1.920000,34.199277
archer,132,66,66,0,0,0,1.920000,51.298915
guardian,132,0,0,0,66,66,1.300000,48.292042
mage,132,66,66,0,0,0,1.920000,45.599035
warrior,133,66,67,0,0,0,1.920000,34.590516
archer,133,66,67,0,0,0,1.920000,51.885774
guardian,133,0,0,0,66,67,1.300000,48.844503
mage,133,66,67,0,0,0,1.920000,46.120688
warrior,134,67,67,0,0,0,1.920000,34.986231
archer,134,67,67,0,0,0,1.920000,52.479346
guardian,134,0,0,0,67,67,1.300000,49.403283
mage,134,67,67,0,0,0,1.920000,46.648308
warrior,135,67,68,0,0,0,1.920000,35.377343
archer,135,67,68,0,0,0,1.920000,53.066015
guardian,135,0,0,0,67,68,1.300000,49.955564
mage,135,67,68,0,0,0,1.920000,47.169791
warrior,136,68,68,0,0,0,1.920000,35.772828
archer,136,68,68,0,0,0,1.920000,53.659242
guardian,136,0,0,0,68,68,1.300000,50.514019
mage,136,68,68,0,0,0,1.920000,47.697104
warrior,137,68,69,0,0,0,1.920000,36.163662
archer,137,68,69,0,0,0,1.920000,54.245492
guardian,137,0,0,0,68,69,1.300000,51.065907
mage,137,68,69,0,0,0,1.920000,48.218215
warrior,138,69,69,0,0,0,1.920000,36.558765
archer,138,69,69,0,0,0,1.920000,54.838148
guardian,138,0,0,0,69,69,1.300000,51.623824
mage,138,69,69,0,0,0,1.920000,48.745020
warrior,139,69,70,0,0,0,1.920000,36.949172
archer,139,69,70,0,0,0,1.920000,55.423758
guardian,139,0,0,0,69,70,1.300000,52.175109
mage,139,69,70,0,0,0,1.920000,49.265562
warrior,140,70,70,0,0,0,1.920000,37.343747
archer,140,70,70,0,0,0,1.920000,56.015621
guardian,140,0,0,0,70,70,1.300000,52.732280
mage,140,70,70,0,0,0,1.920000,49.791663
warrior,141,70,71,0,0,0,1.920000,37.733583
archer,141,70,71,0,0,0,1.920000,56.600374
guardian,141,0,0,0,70,71,1.300000,53.282758
mage,141,70,71,0,0,0,1.920000,50.311443
warrior,142,71,71,0,0,0,1.920000,38.127487
archer,142,71,71,0,0,0,1.920000,57.191231
guardian,142,0,0,0,71,71,1.300000,53.838982
mage,142,71,71,0,0,0,1.920000,50.836650
warrior,143,71,72,0,0,0,1.920000,38.516610
archer,143,71,72,0,0,0,1.920000,57.774915
guardian,143,0,0,0,71,72,1.300000,54.388454
mage,143,71,72,0,0,0,1.920000,51.355480
warrior,144,72,72,0,0,0,1.920000,38.909705
archer,144,72,72,0,0,0,1.920000,58.364557
guardian,144,0,0,0,72,72,1.300000,54.943534
mage,144,72,72,0,0,0,1.920000,51.879606
warrior,145,72,73,0,0,0,1.920000,39.297979
archer,145,72,73,0,0,0,1.920000,58.946968
guardian,145,0,0,0,72,73,1.300000,55.491807
mage,145,72,73,0,0,0,1.920000,52.397305
warrior,146,73,73,0,0,0,1.920000,39.690127
archer,146,73,73,0,0,0,1.920000,59.535191
guardian,146,0,0,0,73,73,1.300000,56.045552
