map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl1,A_STAR,BasicHeuristic- Deadlock,6,0.251039981842041,16698,266,SUCCESS,78
lvl1,A_STAR,BasicHeuristic- Deadlock,7,0.256030797958374,16698,266,SUCCESS,78
lvl1,A_STAR,BasicHeuristic- Deadlock,8,0.2956817150115967,16698,266,SUCCESS,78
lvl1,A_STAR,BasicHeuristic- Deadlock,9,0.2531406879425049,16698,266,SUCCESS,78
lvl1,A_STAR,BasicHeuristic- Deadlock,10,0.2466123104095459,16698,266,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,1,0.34197473526000977,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,2,0.2877161502838135,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,3,0.2767186164855957,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,4,0.27391576766967773,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,5,0.32763195037841797,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,6,0.28253769874572754,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,7,0.27813076972961426,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,8,0.27408409118652344,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,9,0.32479119300842285,16652,268,SUCCESS,78
lvl1,A_STAR,Deadlock- ManhattanDistance1,10,0.28514790534973145,16652,268,SUCCESS,78
