map,algorithm,heuristics_used,iteration,execution_time,expanded_nodes,frontier_nodes,success_or_failure,cost
lvl3,GREEDY_LOCAL,Smarthattan,1,0.00044536590576171875,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,2,0.0003154277801513672,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,3,0.00028586387634277344,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,4,0.0003082752227783203,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,5,0.00030875205993652344,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,6,0.0003006458282470703,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,7,0.00034809112548828125,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,8,0.0003101825714111328,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,9,0.0003104209899902344,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,10,0.00033783912658691406,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,11,0.00030350685119628906,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,12,0.0002791881561279297,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,13,0.0003077983856201172,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,14,0.00030922889709472656,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,15,0.00027179718017578125,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,16,0.00028228759765625,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,17,0.0003044605255126953,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,18,0.00028228759765625,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,19,0.00029206275939941406,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,20,0.00027823448181152344,6,12,SUCCESS,6
lvl3,GREEDY_LOCAL,Smarthattan,21,0.0003001689910888672,6,12,SUCCESS,6
