heuristic,iteration,execution_time,expanded_nodes,total_movements
manhattan_distance,17,0.012890338897705078,329,17
manhattan_distance,18,0.0126953125,329,17
manhattan_distance,19,0.012818336486816406,329,17
manhattan_distance,20,0.012839078903198242,329,17
manhattan_distance,21,0.012939214706420898,329,17
manhattan_distance,22,0.012720346450805664,329,17
manhattan_distance,23,0.012752771377563477,329,17
manhattan_distance,24,0.013309240341186523,329,17
manhattan_distance,25,0.012725591659545898,329,17
manhattan_distance,26,0.013110637664794922,329,17
manhattan_distance,27,0.012779474258422852,329,17
manhattan_distance,28,0.012928962707519531,329,17
manhattan_distance,29,0.012849569320678711,329,17
manhattan_distance,30,0.012846231460571289,329,17
manhattan_distance,31,0.012685298919677734,329,17
manhattan_distance,32,0.0203855037689209,329,17
manhattan_distance,33,0.017843008041381836,329,17
manhattan_distance,34,0.013172388076782227,329,17
manhattan_distance,35,0.013232946395874023,329,17
manhattan_distance,36,0.013043880462646484,329,17
manhattan_distance,37,0.01300668716430664,329,17
manhattan_distance,38,0.01304769515991211,329,17
manhattan_distance,39,0.013058900833129883,329,17
manhattan_distance,40,0.012994527816772461,329,17
manhattan_distance,41,0.01308441162109375,329,17
manhattan_distance,42,0.01333761215209961,329,17
manhattan_distance,43,0.013337373733520508,329,17
manhattan_distance,44,0.013395309448242188,329,17
manhattan_distance,45,0.013122081756591797,329,17
manhattan_distance,46,0.013102054595947266,329,17
manhattan_distance,47,0.013150691986083984,329,17
manhattan_distance,48,0.013162851333618164,329,17
manhattan_distance,49,0.013161182403564453,329,17
manhattan_distance,50,0.02209019660949707,329,17
manhattan_distance,51,0.0240170955657959,329,17
manhattan_distance,52,0.02477264404296875,329,17
manhattan_distance,53,0.02425694465637207,329,17
manhattan_distance,54,0.024404287338256836,329,17
manhattan_distance,55,0.024372339248657227,329,17
manhattan_distance,56,0.024203062057495117,329,17
manhattan_distance,57,0.01587200164794922,329,17
manhattan_distance,58,0.013109207153320312,329,17
manhattan_distance,59,0.013184070587158203,329,17
manhattan_distance,60,0.013139963150024414,329,17
manhattan_distance,61,0.013184309005737305,329,17
manhattan_distance,62,0.013042926788330078,329,17
manhattan_distance,63,0.012997865676879883,329,17
manhattan_distance,64,0.013002157211303711,329,17
manhattan_distance,65,0.013067960739135742,329,17
manhattan_distance,66,0.012984991073608398,329,17
manhattan_distance,67,0.013037919998168945,329,17
