strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,80,28,0,0,1.96,58.86812847041885,10000,6
90,79,28,1,0,1.96,58.46790829222047,10000,6
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
90,80,28,0,0,1.79,53.83244861065486,10000,7
89,79,27,3,0,1.79,52.74077504837714,10000,7
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.3,31.872731254714015,10000,8
90,80,28,0,0,1.49,51.478612364922185,10000,8
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.88,59.83306927225817,10000,9
90,80,28,0,0,1.3,31.872731254714015,10000,9
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
104,93,1,0,0,1.95,57.6022130876727,10000,10
90,80,28,0,0,1.95,59.60772632291878,10000,10
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
150,1,46,0,1,1.87,24.377076551370248,10000,11
90,80,28,0,0,1.87,59.36395240373773,10000,11
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
90,80,28,0,0,1.94,60.133702521722206,10000,12
