strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
46,41,42,31,38,1.35,warrior,30.089011015423143,5
46,41,42,31,38,1.35,warrior,30.089011015423143,4
46,33,51,31,37,1.35,warrior,29.772031865830026,5
49,38,45,33,33,1.35,warrior,30.207308634140148,1
49,38,45,33,33,1.35,warrior,30.207308634140148,1
46,36,43,42,31,1.35,warrior,28.693013036987303,1
49,38,45,33,33,1.35,warrior,30.207308634140148,1
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,3
49,38,45,33,33,1.35,warrior,30.207308634140148,3
49,38,45,33,33,1.35,warrior,30.207308634140148,3
49,38,45,33,33,1.35,warrior,30.207308634140148,3
49,38,45,33,33,1.35,warrior,30.207308634140148,2
49,38,45,33,33,1.35,warrior,30.207308634140148,2
49,38,45,33,33,1.35,warrior,30.207308634140148,2
46,41,42,31,38,1.35,warrior,30.089011015423143,6
49,38,45,33,33,1.35,warrior,30.207308634140148,1
49,38,45,33,33,1.35,warrior,30.207308634140148,1
52,37,44,32,33,1.35,warrior,30.588336684249043,1
54,43,50,14,37,1.35,warrior,32.79340225605077,1
54,43,50,14,37,1.35,warrior,32.79340225605077,2
52,37,44,32,33,1.35,warrior,30.588336684249043,2
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,4
49,38,45,33,33,1.35,warrior,30.207308634140148,3
49,38,45,33,33,1.35,warrior,30.207308634140148,3
58,38,31,34,37,1.35,warrior,30.398977704177334,1
52,43,51,15,37,1.35,warrior,32.426424757502474,1
41,41,48,34,34,1.35,warrior,28.962778679762682,1
49,38,45,33,33,1.35,warrior,30.207308634140148,1
54,43,50,14,37,1.35,warrior,32.79340225605077,3
52,43,51,15,37,1.35,warrior,32.426424757502474,2
52,37,44,32,33,1.35,warrior,30.588336684249043,3
58,38,31,34,37,1.35,warrior,30.398977704177334,2
49,38,45,33,33,1.35,warrior,30.207308634140148,8
49,38,45,33,33,1.35,warrior,30.207308634140148,8
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,6
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
49,38,45,33,33,1.35,warrior,30.207308634140148,5
53,42,53,14,36,1.35,warrior,32.66229929233716,1
52,43,51,14,38,1.35,warrior,32.43648695592682,1
53,39,32,35,39,1.35,warrior,30.083153215012242,1
56,35,43,31,33,1.35,warrior,30.87797202654003,1
54,43,50,14,37,1.35,warrior,32.79340225605077,4
53,42,53,14,36,1.35,warrior,32.66229929233716,2
52,43,51,14,38,1.35,warrior,32.43648695592682,2
52,43,51,15,37,1.35,warrior,32.426424757502474,3
56,35,43,31,33,1.35,warrior,30.87797202654003,2
52,37,44,32,33,1.35,warrior,30.588336684249043,4
58,38,31,34,37,1.35,warrior,30.398977704177334,3
49,38,45,33,33,1.35,warrior,30.207308634140148,9
49,38,45,33,33,1.35,warrior,30.207308634140148,9
49,38,45,33,33,1.35,warrior,30.207308634140148,8
49,38,45,33,33,1.35,warrior,30.207308634140148,8
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,7
49,38,45,33,33,1.35,warrior,30.207308634140148,6
53,43,53,13,36,1.33,warrior,31.087465984831677,1
53,42,50,16,37,1.35,warrior,32.43382773926697,1
52,43,51,15,37,1.35,warrior,32.426424757502474,1
52,44,51,14,37,1.35,warrior,32.556198589549034,1
54,43,50,14,37,1.35,warrior,32.79340225605077,5
53,42,53,14,36,1.35,warrior,32.66229929233716,3
52,44,51,14,37,1.35,warrior,32.556198589549034,2
52,43,51,14,38,1.35,warrior,32.43648695592682,3
53,42,50,16,37,1.35,warrior,32.43382773926697,2
52,43,51,15,37,1.35,warrior,32.426424757502474,4
52,43,51,15,37,1.35,warrior,32.426424757502474,2
53,43,53,13,36,1.33,warrior,31.087465984831677,2
56,35,43,31,33,1.35,warrior,30.87797202654003,3
52,37,44,32,33,1.35,warrior,30.588336684249043,5
58,38,31,34,37,1.35,warrior,30.398977704177334,4
49,38,45,33,33,1.35,warrior,30.207308634140148,10
49,38,45,33,33,1.35,warrior,30.207308634140148,10
49,38,45,33,33,1.35,warrior,30.207308634140148,9
49,38,45,33,33,1.35,warrior,30.207308634140148,9
49,38,45,33,33,1.35,warrior,30.207308634140148,8
54,43,50,14,37,1.52,warrior,34.982329560080615,1
53,42,53,14,36,1.35,warrior,32.66229929233716,1
53,43,50,15,37,1.35,warrior,32.57144790891109,1
52,43,51,15,37,1.35,warrior,32.426424757502474,1
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.35,warrior,32.79340225605077,6
53,42,53,14,36,1.35,warrior,32.66229929233716,4
53,42,53,14,36,1.35,warrior,32.66229929233716,2
53,43,50,15,37,1.35,warrior,32.57144790891109,2
52,44,51,14,37,1.35,warrior,32.556198589549034,3
52,43,51,14,38,1.35,warrior,32.43648695592682,4
53,42,50,16,37,1.35,warrior,32.43382773926697,3
52,43,51,15,37,1.35,warrior,32.426424757502474,5
52,43,51,15,37,1.35,warrior,32.426424757502474,3
52,43,51,15,37,1.35,warrior,32.426424757502474,2
53,43,53,13,36,1.33,warrior,31.087465984831677,3
56,35,43,31,33,1.35,warrior,30.87797202654003,4
52,37,44,32,33,1.35,warrior,30.588336684249043,6
58,38,31,34,37,1.35,warrior,30.398977704177334,5
49,38,45,33,33,1.35,warrior,30.207308634140148,11
54,43,50,14,37,1.35,warrior,32.79340225605077,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
53,42,53,14,36,1.35,warrior,32.66229929233716,1
54,41,52,15,36,1.35,warrior,32.65939396489651,1
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.35,warrior,32.79340225605077,7
54,43,50,14,37,1.35,warrior,32.79340225605077,2
53,42,53,14,36,1.35,warrior,32.66229929233716,5
53,42,53,14,36,1.35,warrior,32.66229929233716,3
53,42,53,14,36,1.35,warrior,32.66229929233716,2
54,41,52,15,36,1.35,warrior,32.65939396489651,2
53,43,50,15,37,1.35,warrior,32.57144790891109,3
52,44,51,14,37,1.35,warrior,32.556198589549034,4
52,43,51,14,38,1.35,warrior,32.43648695592682,5
53,42,50,16,37,1.35,warrior,32.43382773926697,4
52,43,51,15,37,1.35,warrior,32.426424757502474,6
52,43,51,15,37,1.35,warrior,32.426424757502474,4
