strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
16,9,21,88,34,1.42,warrior,12.707185952935067,1,4
33,26,35,61,13,1.99,warrior,18.809468774382914,1,4
31,2,102,19,14,1.49,warrior,17.725390019546328,1,4
59,9,72,13,15,1.79,warrior,21.109973196046916,1,4
21,45,15,30,57,1.34,warrior,14.016142601311937,1,4
31,24,28,68,17,1.35,warrior,16.764765866781687,1,4
27,12,36,14,79,1.91,warrior,17.68883558319186,1,4
3,57,30,68,10,1.84,warrior,6.107377119667582,1,4
50,21,61,12,24,1.95,warrior,22.528786805710325,1,5
46,24,35,28,35,1.8,warrior,21.038856481975934,1,5
56,29,55,19,9,1.78,warrior,21.047049440686074,1,5
51,9,77,15,16,1.79,warrior,21.20169210803174,1,5
45,16,11,76,20,1.74,warrior,20.00453590116366,1,5
52,21,57,21,17,1.76,warrior,20.707021652001494,1,5
45,60,10,26,27,1.36,warrior,19.172307157478357,1,5
47,14,80,15,12,1.42,warrior,20.510820074296234,1,5
36,13,38,66,15,1.99,warrior,19.535843395080207,1,5
91,13,17,7,40,1.83,warrior,14.591249968106295,1,5
56,8,35,17,52,1.39,warrior,20.30949151772502,1,5
25,5,36,13,89,1.66,warrior,15.55443267657795,1,5
16,9,99,28,16,1.49,warrior,12.697160860618254,1,5
14,83,50,10,11,1.38,warrior,11.850211871212537,1,5
35,15,46,47,25,1.55,warrior,18.277547311057283,1,5
15,35,73,7,38,1.91,warrior,12.440664401792176,1,5
50,41,45,5,27,1.34,warrior,18.585538455753895,1,5
22,48,16,22,60,1.35,warrior,14.45546918582449,1,5
15,7,56,81,9,1.84,warrior,12.388641012182688,1,5
1,48,31,60,28,1.42,warrior,5.6823931502775205,1,5
50,9,78,15,16,1.79,warrior,21.159416110973755,1,6
56,25,48,14,25,1.95,warrior,22.677090177849074,1,6
56,29,55,19,9,1.42,warrior,20.740156477406824,1,6
38,21,55,23,31,1.78,warrior,19.56842815456066,1,6
42,17,45,56,8,1.42,warrior,19.975035922088587,1,6
44,13,75,20,16,1.76,warrior,20.182181091284097,1,6
28,75,17,37,11,1.74,warrior,16.762854878594528,1,6
54,20,13,20,61,1.48,warrior,20.748480674044302,1,6
39,63,10,27,29,1.36,warrior,18.494987245071037,1,6
27,7,86,40,8,1.99,warrior,17.042418362266936,1,6
50,41,46,5,26,1.55,warrior,20.05720197318945,1,6
24,9,32,35,68,1.34,warrior,14.845218988658972,1,6
45,11,27,12,73,1.83,warrior,21.42802660424316,1,6
40,6,79,5,38,1.66,warrior,18.778428447820374,1,6
28,62,21,36,21,1.49,warrior,16.901378910287804,1,6
8,4,55,69,32,1.35,warrior,9.527620396667803,1,6
10,81,48,5,24,1.84,warrior,9.91439113524114,1,6
15,7,56,81,9,1.91,warrior,12.440664401792176,1,6
9,50,29,63,17,1.42,warrior,9.633571375785925,1,6
0,47,31,79,11,1.38,warrior,5.532722692647066,1,6
48,21,25,10,64,1.83,warrior,21.73172872341987,1,7
52,12,58,17,29,1.95,warrior,22.630972689202924,1,7
39,7,62,11,49,1.48,warrior,19.496633191459765,1,7
75,28,17,27,21,1.79,warrior,18.766645952012624,1,7
68,19,55,15,11,1.76,warrior,19.576339080261295,1,7
53,16,66,23,10,1.42,warrior,20.76802159181048,1,7
57,45,52,6,8,1.42,warrior,20.707997039496192,1,7
37,15,42,50,24,1.55,warrior,18.65793200696688,1,7
37,20,52,22,37,1.66,warrior,18.318270814910516,1,7
41,7,82,6,32,1.78,warrior,20.082758075513357,1,7
40,67,10,42,9,1.39,warrior,19.336618555990704,1,7
24,21,75,23,25,1.36,warrior,15.191337791628483,1,7
18,46,75,23,6,1.74,warrior,13.4434945383694,1,7
28,62,21,36,21,1.49,warrior,16.901378910287804,1,7
24,9,32,35,68,1.91,warrior,16.528328040660227,1,7
13,5,46,67,37,1.34,warrior,11.458897600905917,1,7
9,51,28,64,16,1.65,warrior,9.829393528709517,1,7
9,81,49,5,24,1.84,warrior,9.393681721116335,1,7
10,4,62,79,13,1.38,warrior,10.182154088889568,1,7
0,42,27,70,29,1.35,warrior,6.124899383517337,1,7
33,70,16,8,41,1.83,warrior,19.075642887617523,1,8
46,20,57,17,28,1.95,warrior,22.164789252884095,1,8
64,21,69,6,8,1.42,warrior,20.170257656329255,1,8
63,31,49,17,8,1.42,warrior,20.279948507599432,1,8
36,6,105,12,9,1.76,warrior,18.91411545896119,1,8
64,18,51,6,29,1.78,warrior,20.484174458469216,1,8
41,8,68,12,39,1.39,warrior,19.48218518545127,1,8
39,52,8,31,38,1.48,warrior,19.496633191459765,1,8
75,28,17,27,21,1.55,warrior,17.634760414532575,1,8
37,15,42,50,24,1.79,warrior,19.509887780338786,1,8
37,20,53,37,21,1.49,warrior,19.078492414119125,1,8
28,61,21,22,36,1.66,warrior,16.37932226561622,1,8
24,21,75,23,25,1.36,warrior,15.191337791628483,1,8
24,9,32,35,68,1.91,warrior,16.528328040660227,1,8
14,37,34,55,28,1.34,warrior,11.804438658955174,1,8
23,10,83,41,11,1.74,warrior,15.22359923223001,1,8
8,4,52,90,14,1.65,warrior,9.406963981771343,1,8
6,35,75,44,8,1.38,warrior,8.398210139106784,1,8
6,59,34,49,20,1.35,warrior,8.711281012697869,1,8
2,90,38,6,32,1.84,warrior,5.534844332134426,1,8
45,19,58,17,29,1.78,warrior,20.60235090149324,1,9
43,12,34,3,76,1.95,warrior,21.751828133180936,1,9
59,30,66,5,8,1.42,warrior,20.609767131562414,1,9
67,23,51,19,8,1.42,warrior,19.777551350722952,1,9
39,15,44,31,39,1.48,warrior,19.496633191459765,1,9
38,50,8,48,24,1.79,warrior,19.708850209393148,1,9
40,7,65,36,20,1.49,warrior,19.603122902290004,1,9
88,12,35,8,25,1.39,warrior,14.309662515075999,1,9
26,51,77,8,6,1.76,warrior,16.320102552483466,1,9
56,10,25,12,65,1.83,warrior,21.982922033432207,1,9
43,23,14,31,57,1.91,warrior,21.966712531097226,1,9
36,13,47,41,31,1.55,warrior,18.473140426611103,1,9
32,72,26,26,12,1.74,warrior,17.809771149102353,1,9
20,8,73,35,32,1.66,warrior,13.993904295751816,1,9
19,56,57,17,19,1.34,warrior,13.422682165676411,1,9
14,37,34,55,28,1.36,warrior,11.831178647925084,1,9
11,6,50,71,30,1.35,warrior,10.704142311126642,1,9
4,44,40,69,11,1.65,warrior,7.652978249126905,1,9
34,26,54,31,23,1.84,warrior,19.45700603687812,1,9
2,105,45,7,9,1.38,warrior,6.510980348317638,1,9
29,5,86,17,31,1.91,warrior,18.402460205856066,1,10
89,14,16,7,42,1.83,warrior,15.316316170251236,1,10
53,15,84,6,10,1.42,warrior,20.76802159181048,1,10
50,24,29,2,63,1.95,warrior,22.528786805710325,1,10
53,22,61,22,10,1.42,warrior,20.76802159181048,1,10
58,20,50,15,25,1.78,warrior,20.974648833542638,1,10
39,8,65,36,20,1.49,warrior,19.439672370861345,1,10
40,50,7,47,24,1.79,warrior,20.071104036443003,1,10
39,15,44,31,39,1.84,warrior,20.614001352936896,1,10
34,26,54,31,23,1.48,warrior,18.500675731854308,1,10
40,15,53,47,13,1.74,warrior,19.384296072071066,1,10
28,64,24,25,27,1.55,warrior,16.612573178816646,1,10
26,51,77,8,6,1.38,warrior,16.04502720794116,1,10
88,12,35,8,25,1.76,warrior,14.619722245619677,1,10
15,5,55,77,16,1.34,warrior,12.142886023573041,1,10
