strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
36,20,54,20,20,1.31,warrior,15.9863882328701,4,4
36,20,54,20,20,1.31,warrior,15.9863882328701,4,4
33,20,57,20,20,1.31,warrior,15.61898410290608,4,4
33,20,57,20,20,1.31,warrior,15.61898410290608,4,4
42,19,50,20,19,1.31,warrior,16.50477631305474,1,4
51,20,54,21,4,1.31,warrior,16.73119336315614,1,4
44,21,46,19,20,1.31,warrior,16.61247090932242,1,4
41,20,50,20,19,1.31,warrior,16.438662847469708,1,4
51,20,54,21,4,1.31,warrior,16.73119336315614,2,5
47,21,55,23,4,1.31,warrior,16.712521435590077,3,5
46,18,48,18,20,1.31,warrior,16.68737636677264,4,5
44,20,47,20,19,1.31,warrior,16.61247090932242,3,5
44,21,46,19,20,1.31,warrior,16.61247090932242,2,5
42,19,50,20,19,1.31,warrior,16.50477631305474,2,5
41,20,49,20,20,1.31,warrior,16.438662847469708,5,5
41,20,49,20,20,1.31,warrior,16.438662847469708,5,5
41,20,49,20,20,1.31,warrior,16.438662847469708,4,5
41,20,49,20,20,1.31,warrior,16.438662847469708,3,5
41,20,49,20,20,1.31,warrior,16.438662847469708,3,5
41,20,50,20,19,1.31,warrior,16.438662847469708,2,5
37,20,53,20,20,1.31,warrior,16.09296357160911,5,5
37,20,53,20,20,1.31,warrior,16.09296357160911,5,5
37,20,53,20,20,1.31,warrior,16.09296357160911,4,5
37,20,53,20,20,1.31,warrior,16.09296357160911,4,5
51,20,54,21,4,1.31,warrior,16.73119336315614,1,5
49,20,53,25,3,1.31,warrior,16.73821485386454,1,5
43,16,48,26,17,1.31,warrior,16.562717502333417,1,5
44,21,46,19,20,1.31,warrior,16.61247090932242,1,5
49,20,53,25,3,1.31,warrior,16.73821485386454,2,6
51,20,54,21,4,1.31,warrior,16.73119336315614,3,6
51,20,54,21,4,1.31,warrior,16.73119336315614,2,6
47,21,55,23,4,1.31,warrior,16.712521435590077,4,6
46,18,48,18,20,1.31,warrior,16.68737636677264,5,6
44,20,47,20,19,1.31,warrior,16.61247090932242,4,6
44,21,46,19,20,1.31,warrior,16.61247090932242,3,6
44,21,46,19,20,1.31,warrior,16.61247090932242,2,6
43,16,48,26,17,1.31,warrior,16.562717502333417,2,6
42,19,50,20,19,1.31,warrior,16.50477631305474,3,6
41,20,49,20,20,1.31,warrior,16.438662847469708,6,6
41,20,49,20,20,1.31,warrior,16.438662847469708,6,6
41,20,49,20,20,1.31,warrior,16.438662847469708,5,6
41,20,49,20,20,1.31,warrior,16.438662847469708,4,6
41,20,49,20,20,1.31,warrior,16.438662847469708,4,6
41,20,50,20,19,1.31,warrior,16.438662847469708,3,6
49,20,56,21,4,1.31,warrior,16.73821485386454,1,6
50,20,54,24,2,1.31,warrior,16.738785030919747,1,6
49,20,55,23,3,1.31,warrior,16.73821485386454,1,6
48,21,55,22,4,1.31,warrior,16.729464757667056,1,6
50,20,54,24,2,1.31,warrior,16.738785030919747,2,7
49,20,53,25,3,1.31,warrior,16.73821485386454,3,7
49,20,56,21,4,1.31,warrior,16.73821485386454,2,7
49,20,55,23,3,1.31,warrior,16.73821485386454,2,7
51,20,54,21,4,1.31,warrior,16.73119336315614,4,7
51,20,54,21,4,1.31,warrior,16.73119336315614,3,7
48,21,55,22,4,1.31,warrior,16.729464757667056,2,7
47,21,55,23,4,1.31,warrior,16.712521435590077,5,7
46,18,48,18,20,1.31,warrior,16.68737636677264,6,7
44,20,47,20,19,1.31,warrior,16.61247090932242,5,7
44,21,46,19,20,1.31,warrior,16.61247090932242,4,7
44,21,46,19,20,1.31,warrior,16.61247090932242,3,7
43,16,48,26,17,1.31,warrior,16.562717502333417,3,7
42,19,50,20,19,1.31,warrior,16.50477631305474,4,7
41,20,49,20,20,1.31,warrior,16.438662847469708,7,7
41,20,49,20,20,1.31,warrior,16.438662847469708,7,7
50,19,53,25,3,1.31,warrior,16.738785030919747,1,7
50,20,53,25,2,1.31,warrior,16.738785030919747,1,7
49,20,56,22,3,1.31,warrior,16.73821485386454,1,7
49,20,55,23,3,1.31,warrior,16.73821485386454,1,7
50,20,54,24,2,1.31,warrior,16.738785030919747,3,8
50,19,53,25,3,1.31,warrior,16.738785030919747,2,8
50,20,53,25,2,1.31,warrior,16.738785030919747,2,8
49,20,53,25,3,1.31,warrior,16.73821485386454,4,8
49,20,56,21,4,1.31,warrior,16.73821485386454,3,8
49,20,55,23,3,1.31,warrior,16.73821485386454,3,8
49,20,56,22,3,1.31,warrior,16.73821485386454,2,8
49,20,55,23,3,1.31,warrior,16.73821485386454,2,8
51,20,54,21,4,1.31,warrior,16.73119336315614,5,8
51,20,54,21,4,1.31,warrior,16.73119336315614,4,8
48,21,55,22,4,1.31,warrior,16.729464757667056,3,8
47,21,55,23,4,1.31,warrior,16.712521435590077,6,8
