Pokeball,Pokemon,Probability,Current HP
pokeball,caterpie,0.4143311192014637,110
pokeball,caterpie,0.31737416172793764,110
pokeball,caterpie,0.33101706747398835,110
pokeball,caterpie,0.345829243223206,110
pokeball,caterpie,0.3326599934850155,110
pokeball,caterpie,0.3068309989180163,110
pokeball,caterpie,0.3370196529209639,110
pokeball,caterpie,0.4192335350954552,110
pokeball,caterpie,0.30066143417790464,110
pokeball,caterpie,0.3086605409059718,110
pokeball,caterpie,0.3641827493230707,110
pokeball,caterpie,0.34262379315131514,110
pokeball,caterpie,0.3269776766841569,110
pokeball,caterpie,0.3085961133539943,110
pokeball,caterpie,0.3163225266984344,110
pokeball,caterpie,0.3414983845676427,110
pokeball,caterpie,0.3834786972733108,110
pokeball,caterpie,0.3110687963985288,110
pokeball,caterpie,0.2960248129514399,110
pokeball,caterpie,0.29164894799450924,110
pokeball,caterpie,0.24470739869054095,110
pokeball,caterpie,0.3739065280123641,110
pokeball,caterpie,0.3154192481576366,110
pokeball,caterpie,0.3538794803459495,110
pokeball,caterpie,0.3239968339235921,110
pokeball,caterpie,0.36504243016446225,110
pokeball,caterpie,0.32224112625652573,110
pokeball,caterpie,0.2990981495510312,110
pokeball,caterpie,0.319943815913231,110
pokeball,caterpie,0.2953817021467823,110
pokeball,caterpie,0.402065317142618,110
pokeball,caterpie,0.3563637852744924,110
pokeball,caterpie,0.2770789197629254,110
pokeball,caterpie,0.41240152412379566,110
pokeball,caterpie,0.45247427575250865,110
pokeball,caterpie,0.35399871284494,110
pokeball,caterpie,0.3336474650757799,110
pokeball,caterpie,0.3621976824111063,110
pokeball,caterpie,0.3138826478731278,110
pokeball,caterpie,0.2935213945511937,110
pokeball,caterpie,0.34379960261688014,110
pokeball,caterpie,0.269405802996429,110
pokeball,caterpie,0.27506264733392005,110
pokeball,caterpie,0.2438762762767343,110
pokeball,caterpie,0.3853330454581696,110
pokeball,caterpie,0.293991066953259,110
pokeball,caterpie,0.3481803762970421,110
pokeball,caterpie,0.3118988431035463,110
pokeball,caterpie,0.3275658761206681,110
pokeball,caterpie,0.32342084993573783,110
pokeball,caterpie,0.4167271347759824,110
pokeball,caterpie,0.3092536583930048,110
pokeball,caterpie,0.3516001680500229,110
pokeball,caterpie,0.32366248313308915,110
pokeball,caterpie,0.33132371799557675,110
pokeball,caterpie,0.34934559216368943,110
pokeball,caterpie,0.33409492739719293,110
pokeball,caterpie,0.3043231095124511,110
pokeball,caterpie,0.374995753637212,110
pokeball,caterpie,0.3805135031946916,110
